Gender,Sleep_Hours_Per_Night,Screen_Time_Hours,Social_Media_Hours,Attendance_Percentage,Assignments_Completed,Class_Participation_Score,Physical_Activity_Hours_Per_Week,Stress_Level,Motivation_Level,Extracurricular_Involvement,Previous_Semester_GPA,Productivity_Score,Performance_Category,Gender_Encoded,SM_Percentage
Male,Poor,High,High,86.3,75.1,3.8,Moderately Active,1.4,6.3,4.9,5.9,51.2,Medium,1,37.83783783783783
Male,Poor,High,High,93.3,99.6,7.9,Underactive,8.3,8.2,3.9,6.6,74.1,High,1,64.06249999999999
Male,Poor,High,High,66.3,75.6,4.0,Underactive,9.3,4.1,4.9,7.1,34.6,Low,1,58.108108108108105
Female,Healthy,High,High,62.8,51.9,3.0,Moderately Active,2.5,10.0,2.8,6.8,53.2,Medium,0,38.70967741935484
Male,Poor,High,High,87.9,37.0,8.8,Very Active,6.1,8.0,4.5,5.9,57.4,Medium,1,86.04651162790698
Female,Poor,Moderate,High,78.0,87.1,2.5,Very Active,5.5,1.8,8.0,9.8,25.8,Low,0,68.75
Female,Poor,High,High,94.1,65.6,5.2,Very Active,1.0,3.3,6.4,7.6,66.4,High,0,58.53658536585367
Female,Poor,High,High,55.9,94.4,7.5,Very Active,5.0,5.8,5.6,7.8,65.6,High,0,45.614035087719294
Female,Excessive,High,High,69.1,72.6,6.6,Very Active,5.7,1.0,7.9,5.1,47.5,Medium,0,45.833333333333336
Female,Poor,High,Moderate,78.4,69.6,1.4,Underactive,8.3,3.0,4.5,9.1,30.4,Low,0,24.285714285714285
Female,Poor,High,High,73.9,100.0,5.5,Very Active,7.0,4.9,4.0,4.3,46.9,Medium,0,54.929577464788736
Male,Poor,High,High,63.4,79.6,6.9,Underactive,1.7,8.3,2.2,4.5,43.2,Low,1,43.66197183098592
Female,Excessive,High,High,74.3,36.1,6.7,Moderately Active,6.5,5.1,3.6,4.9,38.7,Low,0,37.50000000000001
Male,Healthy,High,High,67.4,60.3,5.5,Moderately Active,5.2,7.0,7.5,5.2,57.7,Medium,1,87.71929824561403
Male,Healthy,High,Moderate,84.5,69.9,3.5,Very Active,7.6,8.7,2.4,6.7,50.9,Medium,1,27.397260273972602
Male,Healthy,High,High,91.7,90.5,7.1,Moderately Active,1.3,3.0,3.9,8.0,58.2,Medium,1,26.446280991735538
Male,Poor,High,Moderate,100.0,77.7,6.7,Moderately Active,9.0,4.6,3.8,6.4,46.8,Medium,1,21.311475409836067
Male,Poor,High,High,91.7,93.3,5.2,Moderately Active,8.1,7.5,5.1,5.8,60.4,Medium,1,59.32203389830508
Female,Poor,High,High,78.9,57.1,4.0,Underactive,7.2,2.8,6.0,7.1,29.1,Low,0,93.02325581395348
Male,Healthy,High,High,76.0,78.0,6.5,Very Active,1.0,3.3,0.4,7.7,66.6,High,1,43.859649122807014
Female,Healthy,High,Moderate,96.6,100.0,6.4,Underactive,5.9,6.0,6.4,8.4,70.8,High,0,29.687499999999993
Male,Poor,High,High,76.7,91.2,7.8,Underactive,6.2,2.8,4.5,5.4,51.5,Medium,1,70.83333333333334
Female,Poor,High,Low,77.8,69.4,6.3,Underactive,6.2,6.0,5.3,6.5,35.8,Low,0,0.0
Female,Healthy,High,Moderate,87.0,77.7,3.1,Moderately Active,1.9,5.2,6.6,3.8,52.8,Medium,0,18.51851851851852
